country,country_code,region,oil_share,polity5,fh_political_rights,log_gdp_cap,log_population
Afghanistan,AFG,Asia,0.001,-1,2,6.320781281327119,17.35396248022591
Angola,AGO,Africa,10.372,-2,2,8.048114125939943,17.143577233382526
Albania,ALB,Europe,1.337,9,5,8.28218010962688,14.873544919547472
United Arab Emirates,ARE,Asia,13.121,-8,2,10.562648391336227,16.04152730070903
Argentina,ARG,Americas,0.712,9,6,9.531630833931786,17.579774950705943
Armenia,ARM,Asia,0,5,3,8.190711882442955,14.888996131499804
Australia,AUS,Oceania,0.206,10,7,10.945653328206475,16.98586797173483
Austria,AUT,Europe,0.033,10,7,10.696385439035998,15.972225476257695
Azerbaijan,AZE,Asia,12.07,-7,1,8.612559802799922,16.08240018082785
Burundi,BDI,Africa,0,-1,1,5.721986256177024,16.133972346565702
Belgium,BEL,Europe,0,8,7,10.621529684226134,16.238027132606476
Benin,BEN,Africa,0.057,7,6,6.98174589225858,16.174094248026304
Burkina Faso,BFA,Africa,0,6,4,6.4820781800533664,16.71200884363783
Bangladesh,BGD,Asia,0.029,1,4,7.129660712061097,18.867008082571306
Bulgaria,BGR,Europe,0.015,9,6,8.864277636442157,15.786530096857753
Bahrain,BHR,Asia,9.601,-10,1,10.027212263541324,14.131672938670619
Bahamas,BHS,Americas,0,NA,7,10.364051727223714,12.832545692822126
Bosnia & Herzegovina,BIH,Europe,0,NA,4,8.461614951677655,15.047884796009988
Belarus,BLR,Europe,0.44,-7,1,8.694008316243513,16.062696676631802
Belize,BLZ,Americas,0.79,NA,7,8.47745328880097,12.796428230152902
Bolivia,BOL,Americas,1.341,7,5,8.01828680215806,16.201492603779652
Brazil,BRA,Americas,1.077,8,6,9.084095488886433,19.13594042611124
Barbados,BRB,Americas,0.169,NA,7,9.714676873958249,12.561391169947747
Brunei,BRN,Asia,7.709,NA,2,10.34702002474255,12.935826548822295
Bhutan,BTN,Asia,0,5,5,7.920312159880683,13.49789834766775
Botswana,BWA,Africa,0,8,5,8.76450788214944,14.567264325477337
Central African Republic,CAF,Africa,0,0,1,5.9333663562635,15.31806924653127
Canada,CAN,Americas,0.038,10,7,10.682723790926165,17.390742700015092
Switzerland,CHE,Europe,0,10,7,11.34776943981343,15.929642856482122
Chile,CHL,Americas,0.02,10,7,9.510075311666313,16.704178420610607
China,CHN,Asia,0.336,-7,1,8.989248643605354,21.045247881693836
Côte d’Ivoire,CIV,Africa,0.394,4,4,7.58708021243073,16.960789270936658
Cameroon,CMR,Africa,2.039,-4,2,7.231655814763173,16.963894216535987
Congo - Kinshasa,COD,Africa,0.353,5,2,6.209227728309602,18.149456259404996
Congo - Brazzaville,COG,Africa,13.203,-4,2,7.8032405821790976,15.395744763103156
Colombia,COL,Americas,2.731,7,5,8.728406018592297,17.676675269115442
Comoros,COM,Africa,0,9,5,7.124949655275373,13.56375531825457
Cape Verde,CPV,Africa,0,10,7,8.020609462551027,13.170658180807635
