省市,土地均价,企业拿地占比,Year
安徽省,,0.111400 ,2022
北京市,,0.082300 ,2022
福建省,,0.261900 ,2022
甘肃省,,0.028600 ,2022
广东省,,0.232500 ,2022
广西壮族自治区,,0.172900 ,2022
贵州省,,0.095500 ,2022
海南省,,0.060500 ,2022
河北省,,0.121700 ,2022
河南省,,0.117200 ,2022
黑龙江省,,0.000000 ,2022
湖北省,,0.237300 ,2022
湖南省,,0.219000 ,2022
吉林省,,0.000000 ,2022
江苏省,,0.348400 ,2022
江西省,,0.208300 ,2022
辽宁省,,0.000000 ,2022
内蒙古自治区,,0.008600 ,2022
宁夏回族自治区,,0.000000 ,2022
青海省,,0.000000 ,2022
山东省,,0.096300 ,2022
山西省,,0.035900 ,2022
陕西省,,0.035000 ,2022
上海市,,0.082000 ,2022
四川省,,0.254500 ,2022
天津市,,0.000000 ,2022
新疆兵团,,0.000000 ,2022
新疆维吾尔自治区,,0.087800 ,2022
云南省,,0.000900 ,2022
浙江省,,0.160000 ,2022
重庆市,,0.167400 ,2022
